Display year ending,Local Government Area,Year,Rate per 100000 population
Year ending December, Kingston,2011,5788.8
Year ending December, Indigo,2011,2983.6
Year ending December, Hume,2011,7992.4
Year ending December, Horsham,2011,9373.6
Year ending December, Hobsons Bay,2011,6530.1
Year ending December, Hindmarsh,2011,3739.8
Year ending December, Hepburn,2011,4511.6
Year ending December, Greater Shepparton,2011,9528.1
Year ending December, Greater Geelong,2011,6738.9
Year ending December, Greater Dandenong,2011,9777.9
Year ending December, Greater Bendigo,2011,5967.9
Year ending December, Golden Plains,2011,2015.0
Year ending December, Glenelg,2011,7109.0
Year ending December, Glen Eira,2011,4013.8
Year ending December, Gannawarra,2011,5711.3
Year ending December, Frankston,2011,8834.7
Year ending December, East Gippsland,2011,7173.2
Year ending December, Darebin,2011,7975.3
Year ending December, Corangamite,2011,3933.2
Year ending December, Colac-Otway,2011,6591.7
Year ending December, Central Goldfields,2011,7289.9
Year ending December, Casey,2011,5504.0
Year ending December, Cardinia,2011,5582.1
Year ending December, Campaspe,2011,6096.9
Year ending December, Buloke,2011,4856.9
Year ending December, Brimbank,2011,8818.5
Year ending December, Boroondara,2011,3532.2
Year ending December, Benalla,2011,6694.2
Year ending December, Bayside,2011,3743.3
Year ending December, Baw Baw,2011,5109.6
Year ending December, Bass Coast,2011,6516.1
Year ending December, Banyule,2011,5513.8
Year ending December, Ballarat,2011,9974.3
Year ending December, Ararat,2011,8484.9
Year ending December, Alpine,2011,2958.2
Year ending December,Total,2010,27400.1
Year ending December, Yarriambiack,2010,4485.8
Year ending December, Yarra Ranges,2010,4179.9
Year ending December, Yarra,2010,14273.9
Year ending December, Wyndham,2010,6311.1
Year ending December, Wodonga,2010,6855.2
Year ending December, Whittlesea,2010,6105.7
Year ending December, Whitehorse,2010,3961.6
Year ending December, West Wimmera,2010,2355.4
Year ending December, Wellington,2010,6970.8
Year ending December, Warrnambool,2010,7868.4
Year ending December, Wangaratta,2010,7452.2
Year ending December, Towong,2010,3814.1
Year ending December, Swan Hill,2010,9846.5
Year ending December, Surf Coast,2010,4725.3
Year ending December, Strathbogie,2010,4355.1
Year ending December, Stonnington,2010,8880.0
Year ending December, Southern Grampians,2010,5429.5
Year ending December, South Gippsland,2010,4324.1
Year ending December, Queenscliffe,2010,13631.9
Year ending December, Pyrenees,2010,4016.0
Year ending December, Port Phillip,2010,10262.0
Year ending December, Northern Grampians,2010,9081.2
Year ending December, Nillumbik,2010,2621.0
Year ending December, Murrindindi,2010,4805.5
Year ending December, Moyne,2010,3674.9
Year ending December, Mount Alexander,2010,5037.6
Year ending December, Mornington Peninsula,2010,5773.5
Year ending December, Moreland,2010,6568.3
Year ending December, Moorabool,2010,4524.5
Year ending December, Moonee Valley,2010,6224.7
Year ending December, Monash,2010,4605.9
Year ending December, Moira,2010,5178.1
Year ending December, Mitchell,2010,8108.1
Year ending December, Mildura,2010,10926.9
Year ending December, Melton,2010,5720.3
Year ending December, Melbourne,2010,32058.0
Year ending December, Maroondah,2010,5841.0
Year ending December, Maribyrnong,2010,11673.2
Year ending December, Mansfield,2010,5590.9
Year ending December, Manningham,2010,2953.1
Year ending December, Macedon Ranges,2010,3756.2
Year ending December, Loddon,2010,5083.0
Year ending December, Latrobe,2010,11004.1
Year ending December, Knox,2010,5025.8
Year ending December, Kingston,2010,6022.1
Year ending December, Indigo,2010,2819.4
Year ending December, Hume,2010,7653.0
Year ending December, Horsham,2010,9143.9
Year ending December, Hobsons Bay,2010,6407.7
Year ending December, Hindmarsh,2010,4030.9
Year ending December, Hepburn,2010,5006.5
Year ending December, Greater Shepparton,2010,9610.5
Year ending December, Greater Geelong,2010,6687.7
Year ending December, Greater Dandenong,2010,9367.2
Year ending December, Greater Bendigo,2010,5996.7
Year ending December, Golden Plains,2010,2342.6
Year ending December, Glenelg,2010,7298.6
Year ending December, Glen Eira,2010,4321.1
Year ending December, Gannawarra,2010,5985.8
Year ending December, Frankston,2010,9253.6
Year ending December, East Gippsland,2010,7547.5
Year ending December, Darebin,2010,7549.0
Year ending December, Corangamite,2010,4292.7
Year ending December, Colac-Otway,2010,7130.2
Year ending December, Central Goldfields,2010,7722.2
Year ending December, Casey,2010,5318.1
Year ending December, Cardinia,2010,5542.3
Year ending December, Campaspe,2010,7946.3
Year ending December, Buloke,2010,4817.3
Year ending December, Brimbank,2010,7987.0
Year ending December, Boroondara,2010,3668.1
Year ending December, Benalla,2010,6937.4
Year ending December, Bayside,2010,3649.8
Year ending December, Baw Baw,2010,4779.4
Year ending December, Bass Coast,2010,7087.6
Year ending December, Banyule,2010,5549.8
Year ending December, Ballarat,2010,9709.8
Year ending December, Ararat,2010,8044.5
Year ending December, Alpine,2010,3317.1
